Symbols,Company_Names,Sectors,Industry,Short_Names
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,20MiLi
21STCENMGM,21st Century Management Services Limited,Financial Services,Management Services,21CeMaSeLi
360ONE,360 ONE WAM LIMITED,Financial Services,Investment Management,36ONWALI
3IINFOLTD,3i Infotech Limited,Technology,IT Services,3iInLi
3MINDIA,3M India Limited,Consumer Goods,Diversified Industrial Products,3MInLi
3PLAND,3P Land Holdings Limited,Real Estate,Real Estate Development,3PLaHoLi
5PAISA,5Paisa Capital Limited,Financial Services,Financial Services,5PCaLi
63MOONS,63 Moons Technologies Limited,Technology,IT Services,63MoTeLi
A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure,Engineering & Construction,A2InEnLi
AAATECH,AAA Technologies Limited,Technology,IT Services,AATeLi
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Exploration,AaExSeLi
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Pharmaceuticals,AaDr_PhLi
AARON,Aaron Industries Limited,Basic Materials,Other Industrial Products,AaInLi
AARTECH,Aartech Solonics Limited,Technology,Electronics Manufacturing,AaSoLi
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Pharmaceuticals,AaDrLi
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,AaInLi
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Pharmaceuticals,AaPhLi
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,AaSuLi
AARVEEDEN,Aarvee Denims & Exports Limited,Consumer Goods,Textiles,AaDe_ExLi
AARVI,Aarvi Encon Limited,Services,Engineering & Consulting,AaEnLi
AAVAS,Aavas Financiers Limited,Financial Services,Housing Finance,AaFiLi
ABAN,Aban Offshore Limited,Energy,Oil & Gas,AbOfLi
ABB,ABB India Limited,Technology,Engineering & Technology,ABInLi
ABBOTINDIA,Abbott India Limited,Healthcare,Pharmaceuticals,AbInLi
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Investment Banking,AdBiCaLi
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Goods,Apparel & Retail,AdBiFaanReLi
ABMINTLLTD,ABM International Limited,Logistics,Shipping & Logistics,ABInLi
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,AdBiSuLiAMLi
ACC,ACC Limited,Basic Materials,Cement Production,ACLi
ACCELYA,Accelya Solutions India Limited,Technology,IT Services,AcSoInLi
ACCURACY,Accuracy Shipping Limited,Services,Shipping & Logistics,AcShLi
ACE,Action Construction Equipment Limited,Industrial Goods,Construction Equipment,AcCoEqLi
ACEINTEG,Ace Integrated Solutions Limited,Technology,IT Services,AcInSoLi
ACI,Archean Chemical Industries Limited,Basic Materials,Specialty Chemicals,ArChInLi
ACL,Andhra Cements Limited,Basic Materials,Cement Production,AnCeLi
ACLGATI,Allcargo Gati Limited,Logistics,Logistics & Transportation,AlGaLi
ADANIENSOL,Adani Energy Solutions Limited,Energy,Renewable Energy,AdEnSoLi
ADANIENT,Adani Enterprises Limited,Conglomerate,Diversified Operations,AdEnLi
ADANIGREEN,Adani Green Energy Limited,Energy,Renewable Energy,AdGrEnLi
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Infrastructure,Port Management & Logistics,AdPoanSpEcZoLi
ADANIPOWER,Adani Power Limited,Energy,Power Generation,AdPoLi
ADFFOODS,ADF Foods Limited,Consumer Goods,Food Products,ADFoLi
ADL,Archidply Decor Limited,Consumer Goods,Furniture & Decor,ArDeLi
ADORWELD,Ador Welding Limited,Basic Materials,Welding Equipment,AdWeLi
ADROITINFO,Adroit Infotech Limited,Technology,IT Services,AdInLi
ADSL,Allied Digital Services Limited,Technology,IT Services,AlDiSeLi
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hospitality,Hotels & Resorts,AdHo_Re_ILi
ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Biotechnology,AdEnTeLi
AEGISCHEM,Aegis Logistics Limited,Logistics,Logistics & Supply Chain,AeLoLi
AEROFLEX,Aeroflex Industries Limited,Basic Materials,Industrial Equipment,AeInLi
AETHER,Aether Industries Limited,Chemicals,Specialty Chemicals,AeInLi
AFFLE,Affle (India) Limited,Technology,Digital Advertising,Af_ILi
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Other Industrial Products,AgInCoLi
AGI,AGI Greenpac Limited,Basic Materials,Packaging Solutions,AGGrLi
AGRITECH,Agri-Tech (India) Limited,Agriculture,Agri-Tech Products,Ag_ILi
AGROPHOS,Agro Phos India Limited,Agriculture,Fertilizers,AgPhInLi
AGSTRA,AGS Transact Technologies Limited,Technology,IT Services,AGTrTeLi
AHL,Abans Holdings Limited,Financial Services,Investment Services,AbHoLi
AHLADA,Ahlada Engineers Limited,Engineering,Engineering Services,AhEnLi
AHLEAST,Asian Hotels (East) Limited,Hospitality,Hotels & Resorts,AsHo_ELi
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Construction Services,AhCo_ILi
AIAENG,AIA Engineering Limited,Engineering,Manufacturing & Engineering Services,AIEnLi
AIRAN,Airan Limited,Services,General Trading,AiLi
AIROLAM,Airo Lam limited,Basic Materials,Laminate & Decorative Solutions,AiLali
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Pharmaceuticals,AjPhLi
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate Development,AjRe_InInLi
AJOONI,Ajooni Biotech Limited,Healthcare,Biotechnology,AjBiLi
AKASH,Akash Infra-Projects Limited,Infrastructure,Construction Services,AkInLi
AKG,Akg Exim Limited,Consumer Goods,Trading,AkExLi
AKI,AKI India Limited,Industrial Goods,Manufacturing,AKInLi
AKSHAR,Akshar Spintex Limited,Textiles,Textile Manufacturing,AkSpLi
AKSHARCHEM,AksharChem India Limited,Chemicals,Specialty Chemicals,AkInLi
AKSHOPTFBR,Aksh Optifibre Limited,Telecommunications,Optical Fiber Products,AkOpLi
AKZOINDIA,Akzo Nobel India Limited,Chemicals,Coatings,AkNoInLi
ALANKIT,Alankit Limited,Technology,IT Services,AlLi
ALBERTDAVD,Albert David Limited,Healthcare,Pharmaceuticals,AlDaLi
ALEMBICLTD,Alembic Limited,Healthcare,Pharmaceuticals,AlLi
ALICON,Alicon Castalloy Limited,Manufacturing,Castings,AlCaLi
ALKALI,Alkali Metals Limited,Basic Materials,Chemicals,AlMeLi
ALKEM,Alkem Laboratories Limited,Healthcare,Pharmaceuticals,AlLaLi
ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,Specialty Chemicals,AlAmChLi
ALLCARGO,Allcargo Logistics Limited,Logistics,Supply Chain & Logistics,AlLoLi
ALLSEC,Allsec Technologies Limited,Technology,IT Services,AlTeLi
ALMONDZ,Almondz Global Securities Limited,Financial Services,Financial Services,AlGlSeLi
ALOKINDS,Alok Industries Limited,Textiles,Textiles,AlInLi
ALPA,Alpa Laboratories Limited,Healthcare,Pharmaceuticals,AlLaLi
ALPHAGEO,Alphageo (India) Limited,Geosciences,Geophysical Services,Al_ILi
ALPSINDUS,Alps Industries Limited,Consumer Goods,Industrial Manufacturing,AlInLi
AMBER,Amber Enterprises India Limited,Consumer Goods,Air Conditioning & Refrigeration,AmEnInLi
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Consumer Goods,Agarbatti & Incense Products,AmAg_ArinLi
