Sl_No,Date,Week,Description
1,19-Feb-2025,Wednesday,Chhatrapati Shivaji Maharaj Jayanti
2,26-Feb-2025,Wednesday,Mahashivratri
3,14-Mar-2025,Friday,Holi
4,31-Mar-2025,Monday,Id-Ul-Fitr (Ramadan Eid)
5,01-Apr-2025,Tuesday,Annual Bank closing
6,10-Apr-2025,Thursday,Shri Mahavir Jayanti
7,14-Apr-2025,Monday,Dr. Baba Saheb Ambedkar Jayanti
8,18-Apr-2025,Friday,Good Friday
9,01-May-2025,Thursday,Maharashtra Day
10,12-May-2025,Monday,Buddha Pournima
11,15-Aug-2025,Friday,Independence Day
12,27-Aug-2025,Wednesday,Ganesh Chaturthi
13,05-Sep-2025,Friday,Id-E-Milad
14,02-Oct-2025,Thursday,Mahatma Gandhi Jayanti/Dussehra
15,21-Oct-2025,Tuesday,Diwali Laxmi Pujan
16,22-Oct-2025,Wednesday,Balipratipada
17,05-Nov-2025,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev
18,25-Dec-2025,Thursday,Christmas
